Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Score per Map,Match Durations,Score per Half,Sides Chosen by Non-Picker,Match URL
Valorant Champions 2023,Paper Rex,FUT Esports,2023-08-16 17:25:00,Bo3,FUT ban Fracture; PRX ban Haven; FUT pick Ascent; PRX pick Pearl; FUT ban Bind; PRX ban Lotus; Split remains,Ascent: 13-10; Pearl: 13-4,54:58; 38:42,"Team 1: 4 / 9, Team 2: 8 / 2; Team 1: 11 / 2, Team 2: 1 / 3",Team 1: Attack; Team 2: Defense,https://www.vlr.gg/248271/paper-rex-vs-fut-esports-valorant-champions-2023-playoffs-ubqf
Valorant Champions 2023,DRX,Bilibili Gaming,2023-08-17 15:00:00,Bo3,BLG ban Fracture; DRX ban Bind; BLG pick Lotus; DRX pick Haven; BLG ban Split; DRX ban Ascent; Pearl remains,Lotus: 13-10; Haven: 13-9,1:04:41; 48:59,"Team 1: 2 / 11, Team 2: 10 / 0; Team 1: 7 / 6, Team 2: 5 / 4",Team 1: Attack; Team 2: Defense,https://www.vlr.gg/248272/drx-vs-bilibili-gaming-valorant-champions-2023-playoffs-ubqf
Valorant Champions 2023,Evil Geniuses,EDward Gaming,2023-08-17 17:25:00,Bo3,EDG ban Fracture; EG ban Haven; EDG pick Split; EG pick Ascent; EDG ban Lotus; EG ban Bind; Pearl remains,Split: 12-14; Ascent: 13-5; Pearl: 13-5,1:13:52; 42:56; 41:13,"Team 1: 8 / 4 / 0, Team 2: 4 / 8 / 2; Team 1: 5 / 8, Team 2: 1 / 4; Team 1: 5 / 8, Team 2: 1 / 4",Team 1: Defense; Team 2: Attack,https://www.vlr.gg/248273/evil-geniuses-vs-edward-gaming-valorant-champions-2023-playoffs-ubqf
Valorant Champions 2023,FNATIC,FUT Esports,2023-08-18 15:00:00,Bo3,FNC ban Pearl; FUT ban Fracture; FNC pick Split; FUT pick Haven; FNC ban Ascent; FUT ban Lotus; Bind remains,Split: 13-5; Haven: 13-9,55:48; 47:46,"Team 1: 10 / 3, Team 2: 2 / 3; Team 1: 5 / 8, Team 2: 7 / 2",Team 2: Defense; Team 1: Attack,https://www.vlr.gg/248278/fnatic-vs-fut-esports-valorant-champions-2023-playoffs-lr1
Valorant Champions 2023,Bilibili Gaming,EDward Gaming,2023-08-18 17:10:00,Bo3,BLG ban Fracture; EDG ban Lotus; BLG pick Bind; EDG pick Split; BLG ban Pearl; EDG ban Ascent; Haven remains,Bind: 4-13; Split: 15-13; Haven: 10-13,46:24; 1:03:07; 48:16,"Team 1: 2 / 2, Team 2: 3 / 10; Team 1: 4 / 8 / 3, Team 2: 8 / 4 / 1; Team 1: 6 / 4, Team 2: 6 / 7",Team 2: Attack; Team 1: Defense,https://www.vlr.gg/248279/bilibili-gaming-vs-edward-gaming-valorant-champions-2023-playoffs-lr1
Valorant Champions 2023,LOUD,Paper Rex,2023-08-19 15:00:00,Bo3,LOUD ban Fracture; PRX ban Haven; LOUD pick Lotus; PRX pick Split; LOUD ban Bind; PRX ban Ascent; Pearl remains,Lotus: 13-15; Split: 13-2; Pearl: 10-13,1:17:41; 33:43; 54:17,"Team 1: 5 / 7 / 1, Team 2: 7 / 5 / 3; Team 1: 10 / 3, Team 2: 2 / 0; Team 1: 5 / 5, Team 2: 6 / 7",Team 2: Attack; Team 1: Attack,https://www.vlr.gg/248274/loud-vs-paper-rex-valorant-champions-2023-playoffs-ubsf
Valorant Champions 2023,DRX,Evil Geniuses,2023-08-19 18:25:00,Bo3,EG ban Haven; DRX ban Ascent; EG pick Fracture; DRX pick Lotus; EG ban Bind; DRX ban Pearl; Split remains,Fracture: 9-13; Lotus: 4-13,1:02:57; 36:28,"Team 1: 4 / 5, Team 2: 8 / 5; Team 1: 2 / 2, Team 2: 3 / 10",Team 1: Attack; Team 2: Attack,https://www.vlr.gg/248275/drx-vs-evil-geniuses-valorant-champions-2023-playoffs-ubsf
Valorant Champions 2023,LOUD,EDward Gaming,2023-08-20 15:00:00,Bo3,EDG ban Lotus; LOUD ban Fracture; EDG pick Bind; LOUD pick Ascent; EDG ban Pearl; LOUD ban Split; Haven remains,Bind: 11-13; Ascent: 13-5; Haven: 13-11,1:13:21; 40:33; 49:54,"Team 1: 5 / 6, Team 2: 7 / 6; Team 1: 5 / 8, Team 2: 1 / 4; Team 1: 7 / 6, Team 2: 5 / 6",Team 1: Defense; Team 2: Attack,https://www.vlr.gg/248281/loud-vs-edward-gaming-valorant-champions-2023-playoffs-lr2
Valorant Champions 2023,DRX,FNATIC,2023-08-20 18:20:00,Bo3,FNC ban Pearl; DRX ban Lotus; FNC pick Bind; DRX pick Haven; FNC ban Ascent; DRX ban Fracture; Split remains,Bind: 13-1; Haven: 9-13; Split: 6-13,43:48; 52:41; 45:26,"Team 1: 2 / 11, Team 2: 0 / 1; Team 1: 3 / 6, Team 2: 7 / 6; Team 1: 1 / 5, Team 2: 6 / 7",Team 1: Defense; Team 2: Attack,https://www.vlr.gg/248280/drx-vs-fnatic-valorant-champions-2023-playoffs-lr2
Valorant Champions 2023,Paper Rex,Evil Geniuses,2023-08-24 15:00:00,Bo3,EG ban Split; PRX ban Fracture; EG pick Ascent; PRX pick Bind; EG ban Lotus; PRX ban Haven; Pearl remains,Ascent: 10-13; Bind: 13-9; Pearl: 15-13,1:11:31; 48:25; 1:06:45,"Team 1: 7 / 3, Team 2: 5 / 8; Team 1: 5 / 8, Team 2: 7 / 2; Team 1: 6 / 6 / 3, Team 2: 6 / 6 / 1",Team 1: Attack; Team 2: Defense,https://www.vlr.gg/248276/paper-rex-vs-evil-geniuses-valorant-champions-2023-playoffs-uf
