Match ID,Event,Year,Date,Match Format,Team 1,Team 2,Team A,Team B,Map Veto,Starting Sides,Veto Status
24,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-25 14:30:00,Bo3,LEVIATÁN,Team Vitality,LEVIATÁN,Team Vitality,"[{'Team': 'LEVIATÁN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'Team Vitality', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEVIATÁN', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'Team Vitality', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'LEVIATÁN', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'Team Vitality', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",Team 2: Attack; Team 1: Defense,Complete
25,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-26 12:00:00,Bo3,FUT Esports,100 Thieves,FUT Esports,100 Thieves,"[{'Team': 'FUT Esports', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': '100 Thieves', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FUT Esports', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': '100 Thieves', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'FUT Esports', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': '100 Thieves', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 2: Attack; Team 1: Defense; Team 1: Attack & Team 2: Defense,Complete
26,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-26 15:35:00,Bo3,FNATIC,FURIA,FNATIC,FURIA,"[{'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'FURIA', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FNATIC', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'FURIA', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'FURIA', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 2: Defense; Team 1: Defense,Complete
27,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-27 12:00:00,Bo3,Natus Vincere,LEVIATÁN,LEVIATÁN,Natus Vincere,"[{'Team': 'LEVIATÁN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'Natus Vincere', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'LEVIATÁN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'Natus Vincere', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'LEVIATÁN', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'Natus Vincere', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Pearl'}]",Team 1: Defense; Team 2: Defense,Complete
28,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-27 14:25:00,Bo3,100 Thieves,FNATIC,100 Thieves,FNATIC,"[{'Team': '100 Thieves', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': '100 Thieves', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'FNATIC', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': '100 Thieves', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",Team 2: Attack; Team 1: Attack,Complete
29,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-03-02 12:00:00,Bo5,LOUD,DRX,LOUD,DRX,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",Team 2: Attack; Team 1: Attack; Team 2: Defense; Team 1: Attack; Team 1: Attack & Team 2: Defense,Complete
30,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-03-03 12:00:00,Bo5,Natus Vincere,FNATIC,FNATIC,Natus Vincere,"[{'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'Natus Vincere', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FNATIC', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'Natus Vincere', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'FNATIC', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'Natus Vincere', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",Team 1: Attack; Team 2: Attack; Team 1: Defense,Complete
31,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-03-04 13:30:00,Bo5,LOUD,FNATIC,LOUD,FNATIC,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'FNATIC', 'Action': 'ban', 'Map': 'Pearl'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FNATIC', 'Action': 'pick', 'Map': 'Fracture'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'FNATIC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Team 2: Defense; Team 1: Defense; Team 2: Defense; Team 1: Attack; Team 1: Attack & Team 2: Defense,Complete
32,Champions Tour 2023: Pacific League,2023,2023-03-25 05:00:00,Bo3,ZETA DIVISION,DRX,DRX,ZETA DIVISION,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'ZETA DIVISION', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'ZETA DIVISION', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'ZETA DIVISION', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]",Team 1: Defense; Team 2: Attack,Complete
33,Champions Tour 2023: Pacific League,2023,2023-03-25 08:00:00,Bo3,T1,Global Esports,Global Esports,T1,"[{'Team': 'Global Esports', 'Action': 'ban', 'Map': 'Fracture'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'Global Esports', 'Action': 'pick', 'Map': 'Pearl'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'Global Esports', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",Team 1: Defense; Team 2: Attack; Team 1: Defense & Team 2: Attack,Complete
