Match_ID,Event,Year,Date,Team 1,Team 2,Match Format,Maps Picked/Banned,Score per Map,Score per Half,Sides Chosen by Non-Picker
24,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-25 14:30:00,LEVIATÁN,Team Vitality,Bo3,LEV ban Split; VIT ban Icebox; LEV pick Haven; VIT pick Pearl; LEV ban Fracture; VIT ban Lotus; Ascent remains,Haven: 16-14; Pearl: 13-3,"Team 1: 7 / 5 / 4, Team 2: 5 / 7 / 2; Team 1: 3 / 10, Team 2: 1 / 2",Team 2: Attack; Team 1: Defense
25,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-26 12:00:00,FUT Esports,100 Thieves,Bo3,FUT ban Fracture; 100T ban Ascent; FUT pick Lotus; 100T pick Haven; FUT ban Pearl; 100T ban Split; Icebox remains,Lotus: 13-9; Haven: 11-13; Icebox: 8-13,"Team 1: 8 / 5, Team 2: 2 / 7; Team 1: 6 / 5, Team 2: 6 / 7; Team 1: 4 / 4, Team 2: 8 / 5",Team 2: Attack; Team 1: Defense
26,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-26 15:35:00,FNATIC,FURIA,Bo3,FNC ban Pearl; FUR ban Lotus; FNC pick Haven; FUR pick Ascent; FNC ban Split; FUR ban Fracture; Icebox remains,Haven: 18-16; Ascent: 13-9,"Team 1: 8 / 4 / 6, Team 2: 4 / 8 / 4; Team 1: 5 / 8, Team 2: 5 / 4",Team 2: Defense; Team 1: Defense
27,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-27 12:00:00,Natus Vincere,LEVIATÁN,Bo3,LEV ban Split; NAVI ban Haven; LEV pick Ascent; NAVI pick Fracture; LEV ban Lotus; NAVI ban Icebox; Pearl remains,Ascent: 13-10; Fracture: 13-2,"Team 1: 7 / 6, Team 2: 4 / 6; Team 1: 11 / 2, Team 2: 1 / 1",Team 1: Defense; Team 2: Defense
28,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-02-27 14:25:00,100 Thieves,FNATIC,Bo3,100T ban Ascent; FNC ban Pearl; 100T pick Fracture; FNC pick Icebox; 100T ban Split; FNC ban Haven; Lotus remains,Fracture: 1-13; Icebox: 10-13,"Team 1: 0 / 1, Team 2: 2 / 11; Team 1: 2 / 8, Team 2: 10 / 3",Team 2: Attack; Team 1: Attack
29,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-03-02 12:00:00,LOUD,DRX,Bo5,LOUD ban Haven; DRX ban Lotus; LOUD pick Pearl; DRX pick Icebox; LOUD pick Split; DRX pick Fracture; Ascent remains,Pearl: 13-5; Icebox: 13-8; Split: 7-13; Fracture: 7-13; Ascent: 13-8,"Team 1: 4 / 9, Team 2: 2 / 3; Team 1: 9 / 4, Team 2: 3 / 5; Team 1: 3 / 4, Team 2: 9 / 4; Team 1: 6 / 1, Team 2: 6 / 7; Team 1: 7 / 6, Team 2: 5 / 3",Team 2: Attack; Team 1: Attack; Team 2: Defense; Team 1: Attack
30,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-03-03 12:00:00,Natus Vincere,FNATIC,Bo5,FNC ban Pearl; NAVI ban Icebox; FNC pick Haven; NAVI pick Lotus; FNC pick Fracture; NAVI pick Split; Ascent remains,Haven: 11-13; Lotus: 4-13; Fracture: 11-13,"Team 1: 5 / 6, Team 2: 7 / 6; Team 1: 2 / 2, Team 2: 3 / 10; Team 1: 5 / 6, Team 2: 7 / 6",Team 1: Attack; Team 2: Attack; Team 1: Defense
31,Champions Tour 2023: LOCK//IN São Paulo,2023,2023-03-04 13:30:00,LOUD,FNATIC,Bo5,LOUD ban Haven; FNC ban Pearl; LOUD pick Ascent; FNC pick Fracture; LOUD pick Split; FNC pick Lotus; Icebox remains,Ascent: 8-13; Fracture: 7-13; Split: 13-9; Lotus: 13-8; Icebox: 12-14,"Team 1: 4 / 4, Team 2: 8 / 5; Team 1: 1 / 6, Team 2: 7 / 6; Team 1: 7 / 6, Team 2: 5 / 4; Team 1: 7 / 6, Team 2: 5 / 3; Team 1: 9 / 3 / 0, Team 2: 3 / 9 / 2",Team 2: Defense; Team 1: Defense; Team 2: Defense; Team 1: Attack
32,Champions Tour 2023: Pacific League,2023,2023-03-25 05:00:00,ZETA DIVISION,DRX,Bo3,DRX ban Lotus; ZETA ban Fracture; DRX pick Ascent; ZETA pick Pearl; DRX ban Split; ZETA ban Icebox; Haven remains,Ascent: 5-13; Pearl: 5-13,"Team 1: 1 / 4, Team 2: 5 / 8; Team 1: 4 / 1, Team 2: 2 / 11",Team 1: Defense; Team 2: Attack
33,Champions Tour 2023: Pacific League,2023,2023-03-25 08:00:00,T1,Global Esports,Bo3,GE ban Fracture; T1 ban Split; GE pick Pearl; T1 pick Haven; GE ban Ascent; T1 ban Icebox; Lotus remains,Pearl: 13-8; Haven: 4-13; Lotus: 13-7,"Team 1: 4 / 9, Team 2: 5 / 3; Team 1: 2 / 2, Team 2: 3 / 10; Team 1: 5 / 8, Team 2: 3 / 4",Team 1: Defense; Team 2: Attack
34,Champions Tour 2023: Pacific League,2023,2023-03-26 05:00:00,Paper Rex,DetonatioN FocusMe,Bo3,PRX ban Icebox; DFM ban Ascent; PRX pick Pearl; DFM pick Lotus; PRX ban Haven; DFM ban Split; Fracture remains,Pearl: 13-5; Lotus: 13-11,"Team 1: 4 / 9, Team 2: 2 / 3; Team 1: 7 / 6, Team 2: 5 / 6",Team 2: Attack; Team 1: Attack
35,Champions Tour 2023: Pacific League,2023,2023-03-26 08:00:00,Team Secret,Talon Esports,Bo3,TLN ban Haven; TS ban Pearl; TLN pick Ascent; TS pick Icebox; TLN ban Split; TS ban Lotus; Fracture remains,Ascent: 13-5; Icebox: 8-13; Fracture: 13-3,"Team 1: 5 / 8, Team 2: 1 / 4; Team 1: 3 / 5, Team 2: 9 / 4; Team 1: 10 / 3, Team 2: 2 / 1",Team 1: Defense; Team 2: Defense
36,Champions Tour 2023: Pacific League,2023,2023-03-27 05:00:00,Rex Regum Qeon,Gen.G,Bo3,GEN ban Icebox; RRQ ban Split; GEN pick Fracture; RRQ pick Lotus; GEN ban Ascent; RRQ ban Pearl; Haven remains,Fracture: 9-13; Lotus: 6-13,"Team 1: 5 / 4, Team 2: 5 / 8; Team 1: 2 / 4, Team 2: 5 / 8",Team 1: Defense; Team 2: Attack
37,Champions Tour 2023: Pacific League,2023,2023-04-01 05:00:00,ZETA DIVISION,Rex Regum Qeon,Bo3,ZETA ban Fracture; RRQ ban Pearl; ZETA pick Haven; RRQ pick Ascent; ZETA ban Icebox; RRQ ban Split; Lotus remains,Haven: 10-13; Ascent: 13-10; Lotus: 13-5,"Team 1: 3 / 7, Team 2: 9 / 4; Team 1: 6 / 7, Team 2: 6 / 4; Team 1: 7 / 6, Team 2: 5 / 0",Team 2: Defense; Team 1: Attack
38,Champions Tour 2023: Pacific League,2023,2023-04-01 08:30:00,Talon Esports,T1,Bo3,T1 ban Split; TLN ban Pearl; T1 pick Ascent; TLN pick Haven; T1 ban Icebox; TLN ban Fracture; Lotus remains,Ascent: 8-13; Haven: 6-13,"Team 1: 4 / 4, Team 2: 5 / 8; Team 1: 3 / 3, Team 2: 4 / 9",Team 1: Defense; Team 2: Attack
39,Champions Tour 2023: Pacific League,2023,2023-04-02 05:00:00,Team Secret,Paper Rex,Bo3,TS ban Pearl; PRX ban Icebox; TS pick Haven; PRX pick Fracture; TS ban Ascent; PRX ban Lotus; Split remains,Haven: 11-13; Fracture: 13-11; Split: 13-10,"Team 1: 5 / 6, Team 2: 7 / 6; Team 1: 5 / 8, Team 2: 7 / 4; Team 1: 8 / 5, Team 2: 3 / 7",Team 2: Attack; Team 1: Defense
