Match ID,Team 1,Team 2,Team A,Team B,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker,Chronology,Side Picker Encoded,Positive Outcome,Map Name_Abyss,Map Name_Ascent,Map Name_Bind,Map Name_Breeze,Map Name_Fracture,Map Name_Haven,Map Name_Icebox,Map Name_Lotus,Map Name_Pearl,Map Name_Split,Map Name_Sunset,Side Picked_Attack,Side Picked_Defense,Patch_1,Patch_2,Patch_3,Patch_4,Patch_5
11,DRX,Cloud9,Cloud9,DRX,3,13,3,0,0,4,9,0,1,DRX,0,Cloud9,-10,16,Cloud9,11,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
11,DRX,Cloud9,Cloud9,DRX,13,7,9,4,0,4,3,0,2,Cloud9,0,DRX,6,20,DRX,11,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
11,DRX,Cloud9,Cloud9,DRX,13,2,11,2,0,1,1,0,3,Cloud9,0,DRX,11,15,,11,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
12,Evil Geniuses,TALON,Evil Geniuses,TALON,11,13,2,9,0,3,10,0,1,TALON,0,TALON,-2,24,Evil Geniuses,12,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
12,Evil Geniuses,TALON,Evil Geniuses,TALON,10,13,2,8,0,4,9,0,2,Evil Geniuses,0,TALON,-3,23,TALON,12,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
13,NRG Esports,LOUD,NRG Esports,LOUD,3,13,0,3,0,9,4,0,1,LOUD,0,LOUD,-10,16,NRG Esports,13,1,1,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
13,NRG Esports,LOUD,NRG Esports,LOUD,15,13,7,5,3,7,5,1,2,NRG Esports,1,NRG Esports,2,28,LOUD,13,0,1,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
13,NRG Esports,LOUD,NRG Esports,LOUD,16,18,7,5,4,7,5,6,3,NRG Esports,1,LOUD,-2,34,,13,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
14,DRX,TALON,TALON,DRX,13,6,6,7,0,0,6,0,2,TALON,0,DRX,7,19,DRX,14,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
14,DRX,TALON,TALON,DRX,13,10,7,6,0,5,5,0,3,TALON,0,DRX,3,23,,14,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
14,DRX,TALON,TALON,DRX,10,13,4,6,0,5,8,0,1,DRX,0,TALON,-3,23,TALON,14,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
15,Team Liquid,Team Secret,Team Secret,Team Liquid,7,13,3,4,0,4,9,0,2,Team Secret,0,Team Secret,-6,20,Team Liquid,15,1,1,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
15,Team Liquid,Team Secret,Team Secret,Team Liquid,8,13,2,6,0,3,10,0,1,Team Liquid,0,Team Secret,-5,21,Team Secret,15,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
