Match ID,Team X,Team Y,Team A,Team B,Map Name,Team X Score,Team Y Score,Team X Attack Rounds,Team X Defense Rounds,Team X Overtime Rounds,Team Y Attack Rounds,Team Y Defense Rounds,Team Y Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker,Team X Halftime Score,Team Y Halftime Score,Halftime Lead
14,DRX,TALON,TALON,DRX,Ascent,13,6,6,7,0,0,6,0,2,TALON,Defense,0,DRX,7,19,DRX,6,6,0
14,DRX,TALON,TALON,DRX,Icebox,13,10,7,6,0,5,5,0,3,TALON,Defense,0,DRX,3,23,,7,5,2
15,Team Secret,Team Liquid,Team Secret,Team Liquid,Icebox,13,8,3,10,0,2,6,0,1,Team Liquid,Attack,0,Team Secret,5,21,Team Secret,10,2,8
15,Team Liquid,Team Secret,Team Secret,Team Liquid,Fracture,7,13,3,4,0,4,9,0,2,Team Secret,Defense,0,Team Secret,-6,20,Team Liquid,3,9,-6
16,KRÜ Esports,Natus Vincere,KRÜ Esports,Natus Vincere,Ascent,5,13,2,3,0,9,4,0,1,Natus Vincere,Attack,0,Natus Vincere,-8,18,KRÜ Esports,3,9,-6
16,Natus Vincere,KRÜ Esports,KRÜ Esports,Natus Vincere,Lotus,13,10,10,3,0,9,1,0,2,KRÜ Esports,Attack,0,Natus Vincere,3,23,Natus Vincere,3,9,-6
17,LEVIATÁN,ZETA DIVISION,LEVIATÁN,ZETA DIVISION,Ascent,13,4,10,3,0,2,2,0,1,ZETA DIVISION,Defense,0,LEVIATÁN,9,17,LEVIATÁN,10,2,8
17,ZETA DIVISION,LEVIATÁN,LEVIATÁN,ZETA DIVISION,Pearl,11,13,6,5,0,7,6,0,2,LEVIATÁN,Defense,0,LEVIATÁN,-2,24,ZETA DIVISION,6,6,0
18,Global Esports,Team Vitality,Global Esports,Team Vitality,Split,4,13,1,3,0,9,4,0,1,Team Vitality,Attack,0,Team Vitality,-9,17,Global Esports,3,9,-6
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Pearl,9,13,2,7,0,5,8,0,2,Global Esports,Attack,0,Global Esports,-4,22,Team Vitality,7,5,2
