Match ID,Team 1,Team 2,Team A,Team B,Map Name,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker
227,Night Wings Gaming,Shenzhen NTER,Night Wings Gaming,Shenzhen NTER,Ascent,13,15,6,6,1,6,6,3,3,Night Wings Gaming,Defense,1,Shenzhen NTER,-2,28,
228,Gank Gaming,Four Angry Men,Four Angry Men,Gank Gaming,Bind,13,11,5,8,0,4,7,0,1,Gank Gaming,Attack,0,Gank Gaming,2,24,Four Angry Men
228,Gank Gaming,Four Angry Men,Four Angry Men,Gank Gaming,Haven,1,13,0,1,0,11,2,0,2,Four Angry Men,Attack,0,Four Angry Men,-12,14,Gank Gaming
228,Gank Gaming,Four Angry Men,Four Angry Men,Gank Gaming,Ascent,16,18,8,4,4,8,4,6,3,Four Angry Men,Attack,1,Four Angry Men,-2,34,
229,Dragon Ranger Gaming,Douyu Gaming,Douyu Gaming,Dragon Ranger Gaming,Haven,13,11,7,6,0,6,5,0,1,Dragon Ranger Gaming,Attack,0,Dragon Ranger Gaming,2,24,Douyu Gaming
229,Dragon Ranger Gaming,Douyu Gaming,Douyu Gaming,Dragon Ranger Gaming,Lotus,13,5,9,4,0,2,3,0,2,Douyu Gaming,Defense,0,Dragon Ranger Gaming,8,18,Dragon Ranger Gaming
230,Trace Esports,Four Angry Men,Four Angry Men,Trace Esports,Haven,13,9,10,3,0,7,2,0,1,Trace Esports,Attack,0,Trace Esports,4,22,Four Angry Men
230,Trace Esports,Four Angry Men,Four Angry Men,Trace Esports,Lotus,18,16,6,6,6,6,6,4,2,Four Angry Men,Defense,1,Trace Esports,2,34,Trace Esports
231,Monarch Effect,Royal Never Give Up,Royal Never Give Up,Monarch Effect,Bind,13,11,5,8,0,4,7,0,1,Monarch Effect,Defense,0,Monarch Effect,2,24,Royal Never Give Up
231,Monarch Effect,Royal Never Give Up,Royal Never Give Up,Monarch Effect,Haven,6,13,4,2,0,10,3,0,2,Royal Never Give Up,Attack,0,Royal Never Give Up,-7,19,Monarch Effect
231,Monarch Effect,Royal Never Give Up,Royal Never Give Up,Monarch Effect,Split,13,2,3,10,0,2,0,0,3,Royal Never Give Up,Attack,0,Monarch Effect,11,15,
