Match ID,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Team 1 Halftime Score,Team 2 Halftime Score,Halftime Lead,Side Picker,Side Picked,Team 1,Team 2
45,10,13,5,5,0,6,7,0,5,7,-2,TALON,Attack,TALON,DRX
46,8,13,3,5,0,7,6,0,5,7,-2,Team Secret,Defense,Team Secret,Gen.G
46,11,13,5,6,0,6,7,0,6,6,0,Gen.G,Attack,Team Secret,Gen.G
47,5,13,2,3,0,9,4,0,3,9,-6,Paper Rex,Defense,Paper Rex,DRX
47,10,13,5,5,0,6,7,0,5,7,-2,DRX,Defense,Paper Rex,DRX
48,10,13,5,5,0,6,7,0,5,7,-2,Rex Regum Qeon,Defense,Team Secret,Rex Regum Qeon
48,7,13,5,2,0,10,3,0,2,10,-8,Team Secret,Defense,Team Secret,Rex Regum Qeon
49,5,13,3,2,0,4,9,0,3,9,-6,Gen.G,Defense,T1,Gen.G
49,5,13,0,5,0,7,6,0,5,7,-2,T1,Defense,T1,Gen.G
50,13,9,10,3,0,7,2,0,10,2,8,DetonatioN FocusMe,Defense,ZETA DIVISION,DetonatioN FocusMe
50,13,5,9,4,0,2,3,0,9,3,6,ZETA DIVISION,Attack,ZETA DIVISION,DetonatioN FocusMe
51,6,13,3,3,0,4,9,0,3,9,-6,TALON,Attack,TALON,Global Esports
51,11,13,6,5,0,7,6,0,6,6,0,Global Esports,Defense,TALON,Global Esports
52,7,13,6,1,0,7,6,0,6,6,0,Global Esports,Defense,Paper Rex,Global Esports
52,13,6,9,4,0,3,3,0,9,3,6,Paper Rex,Attack,Paper Rex,Global Esports
52,13,7,8,5,0,3,4,0,8,4,4,Paper Rex,Attack,Paper Rex,Global Esports
53,7,13,6,1,0,11,2,0,1,11,-10,DRX,Attack,Gen.G,DRX
53,13,10,6,7,0,4,6,0,6,6,0,Gen.G,Attack,Gen.G,DRX
53,4,13,3,1,0,4,9,0,3,9,-6,Gen.G,Attack,Gen.G,DRX
54,13,9,7,6,0,4,5,0,7,5,2,T1,Attack,T1,Rex Regum Qeon
54,13,4,9,4,0,1,3,0,9,3,6,Rex Regum Qeon,Defense,T1,Rex Regum Qeon
55,13,11,6,7,0,5,6,0,6,6,0,Team Secret,Attack,Team Secret,DetonatioN FocusMe
55,13,8,4,9,0,3,5,0,9,3,6,DetonatioN FocusMe,Attack,Team Secret,DetonatioN FocusMe
56,8,13,4,4,0,5,8,0,4,8,-4,ZETA DIVISION,Attack,ZETA DIVISION,TALON
56,14,16,6,6,2,6,6,4,6,6,0,TALON,Attack,ZETA DIVISION,TALON
57,13,9,6,7,0,5,4,0,7,5,2,DetonatioN FocusMe,Attack,T1,DetonatioN FocusMe
57,9,13,4,5,0,7,6,0,5,7,-2,T1,Defense,T1,DetonatioN FocusMe
57,13,10,6,7,0,4,6,0,6,6,0,T1,Attack,T1,DetonatioN FocusMe
58,13,9,8,5,0,5,4,0,8,4,4,Team Secret,Defense,ZETA DIVISION,Team Secret
58,10,13,6,4,0,7,6,0,6,6,0,ZETA DIVISION,Attack,ZETA DIVISION,Team Secret
58,13,9,7,6,0,4,5,0,7,5,2,ZETA DIVISION,Attack,ZETA DIVISION,Team Secret
59,13,8,8,5,0,7,1,0,5,7,-2,Gen.G,Attack,Global Esports,Gen.G
59,13,8,7,6,0,3,5,0,7,5,2,Global Esports,Attack,Global Esports,Gen.G
