Match ID,Date,Team 1_0,Team 1_1,Team 1_2,Team 1_3,Team 1_4,Team 1_5,Team 2_0,Team 2_1,Team 2_2,Team 2_3,Team 2_4,Team 2_5,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference,Map_Abyss,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset
27,2024-02-19 08:00:00,0,0,1,0,1,1,0,1,0,0,0,1,4,9,3,1,0,9,False,False,False,False,False,False,True,False,False
27,2024-02-19 08:00:00,0,0,1,0,1,1,0,1,0,0,0,1,5,8,4,3,0,6,False,False,False,False,False,False,False,False,True
28,2024-02-20 03:00:00,0,1,0,0,0,1,0,1,0,0,1,0,4,3,9,4,0,-6,False,False,False,False,False,False,True,False,False
28,2024-02-20 03:00:00,0,1,0,0,0,1,0,1,0,0,1,0,5,6,6,7,0,-2,False,False,False,True,False,False,False,False,False
29,2024-02-20 05:20:00,0,0,1,1,1,1,0,0,1,1,1,0,8,5,6,4,0,3,False,False,False,False,False,False,False,True,False
29,2024-02-20 05:20:00,0,0,1,1,1,1,0,0,1,1,1,0,7,6,6,2,0,5,False,True,False,False,False,False,False,False,False
30,2024-02-21 01:00:00,0,0,1,1,0,0,0,0,1,1,0,0,5,8,0,7,0,6,False,False,False,False,False,False,True,False,False
30,2024-02-21 01:00:00,0,0,1,1,0,0,0,0,1,1,0,0,7,3,9,4,0,-3,False,False,False,True,False,False,False,False,False
30,2024-02-21 01:00:00,0,0,1,1,0,0,0,0,1,1,0,0,8,5,7,4,0,2,False,False,False,False,False,True,False,False,False
31,2024-02-21 04:30:00,0,1,0,0,1,0,0,1,0,0,1,0,4,4,5,8,0,-5,False,False,False,True,False,False,False,False,False
31,2024-02-21 04:30:00,0,1,0,0,1,0,0,1,0,0,1,0,7,0,8,5,0,-6,False,True,False,False,False,False,False,False,False
32,2024-02-21 07:15:00,0,0,1,1,0,1,0,0,1,1,0,1,5,8,4,4,0,5,False,False,True,False,False,False,False,False,False
32,2024-02-21 07:15:00,0,0,1,1,0,1,0,0,1,1,0,1,9,4,0,3,0,10,False,False,False,False,False,False,True,False,False
33,2024-02-22 01:00:00,0,0,1,1,1,0,0,1,0,0,1,1,5,8,4,1,0,8,False,False,False,True,False,False,False,False,False
33,2024-02-22 01:00:00,0,0,1,1,1,0,0,1,0,0,1,1,8,1,9,4,0,-4,False,False,False,False,False,False,True,False,False
33,2024-02-22 01:00:00,0,0,1,1,1,0,0,1,0,0,1,1,4,8,4,8,1,-2,False,False,False,False,False,True,False,False,False
34,2024-02-22 04:20:00,0,0,1,1,0,1,0,1,0,0,1,0,0,1,11,2,0,-12,False,False,False,False,False,True,False,False,False
34,2024-02-22 04:20:00,0,0,1,1,0,1,0,1,0,0,1,0,7,1,8,5,0,-5,False,True,False,False,False,False,False,False,False
35,2024-02-22 06:30:00,0,0,1,1,0,0,0,1,0,0,0,1,8,5,2,4,0,7,False,False,False,False,False,True,False,False,False
35,2024-02-22 06:30:00,0,0,1,1,0,0,0,1,0,0,0,1,3,10,2,2,0,9,False,True,False,False,False,False,False,False,False
36,2024-02-24 03:00:00,0,0,1,0,1,1,0,1,0,0,0,0,8,4,8,4,1,-2,False,False,False,False,False,False,False,True,False
36,2024-02-24 03:00:00,0,0,1,0,1,1,0,1,0,0,0,0,2,4,8,5,0,-7,False,True,False,False,False,False,False,False,False
37,2024-02-24 05:25:00,0,0,1,1,1,1,0,1,0,0,1,1,7,5,7,5,1,-2,False,False,True,False,False,False,False,False,False
37,2024-02-24 05:25:00,0,0,1,1,1,1,0,1,0,0,1,1,5,3,9,4,0,-5,False,False,False,False,False,False,True,False,False
38,2024-02-25 03:00:00,0,1,0,0,1,1,0,1,0,0,1,1,5,0,6,7,0,-8,False,True,False,False,False,False,False,False,False
38,2024-02-25 03:00:00,0,1,0,0,1,1,0,1,0,0,1,1,8,5,0,4,0,9,False,False,False,False,False,False,False,True,False
38,2024-02-25 03:00:00,0,1,0,0,1,1,0,1,0,0,1,1,7,4,8,5,0,-2,False,False,False,False,False,False,True,False,False
38,2024-02-25 03:00:00,0,1,0,0,1,1,0,1,0,0,1,1,0,4,8,5,0,-9,False,False,True,False,False,False,False,False,False
39,2024-02-20 11:00:00,0,1,0,1,0,0,0,1,0,1,0,0,7,4,8,5,0,-2,False,False,False,False,False,False,True,False,False
39,2024-02-20 11:00:00,0,1,0,1,0,0,0,1,0,1,0,0,5,5,7,6,0,-3,False,False,True,False,False,False,False,False,False
40,2024-02-20 13:35:00,0,1,0,1,0,1,0,1,0,1,0,1,6,5,7,6,0,-2,False,False,False,False,False,False,False,True,False
40,2024-02-20 13:35:00,0,1,0,1,0,1,0,1,0,1,0,1,7,6,5,5,0,3,False,False,False,False,False,False,False,False,True
40,2024-02-20 13:35:00,0,1,0,1,0,1,0,1,0,1,0,1,3,1,4,9,0,-9,False,False,False,False,False,False,True,False,False
41,2024-02-21 08:00:00,0,1,0,1,1,0,0,1,0,1,1,0,4,4,5,8,0,-5,False,False,True,False,False,False,False,False,False
41,2024-02-21 08:00:00,0,1,0,1,1,0,0,1,0,1,1,0,7,6,6,0,0,7,False,True,False,False,False,False,False,False,False
41,2024-02-21 08:00:00,0,1,0,1,1,0,0,1,0,1,1,0,4,9,3,3,0,7,False,False,False,True,False,False,False,False,False
42,2024-02-21 11:00:00,0,1,0,1,1,1,0,1,0,1,1,1,8,5,7,3,0,3,False,False,False,False,False,True,False,False,False
42,2024-02-21 11:00:00,0,1,0,1,1,1,0,1,0,1,1,1,8,5,7,4,0,2,False,False,True,False,False,False,False,False,False
43,2024-02-21 13:45:00,0,1,1,0,0,0,0,1,1,0,0,0,8,5,6,4,0,3,False,False,False,False,False,False,False,False,True
43,2024-02-21 13:45:00,0,1,1,0,0,0,0,1,1,0,0,0,6,7,5,2,0,6,False,False,False,False,False,False,True,False,False
44,2024-02-22 11:00:00,0,1,1,0,0,1,0,1,0,1,0,1,4,9,3,1,0,9,False,False,False,False,False,False,False,True,False
44,2024-02-22 11:00:00,0,1,1,0,0,1,0,1,0,1,0,1,5,8,4,0,0,9,False,False,False,False,False,False,True,False,False
45,2024-02-22 13:10:00,0,1,0,1,0,0,0,1,1,0,0,1,5,8,4,2,0,7,False,False,False,False,False,False,False,True,False
45,2024-02-22 13:10:00,0,1,0,1,0,0,0,1,1,0,0,1,3,5,7,6,0,-5,False,False,False,False,False,True,False,False,False
