Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Champions Tour 2024: China Stage 1,Dragon Ranger Gaming,Titan Esports Club,2024-04-14 05:00:00,Bo3,"[{'Team': 'TEC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Breeze', 'Team 1 Score': 4, 'Team 2 Score': 13}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 5}]","[3, 7, 11]","[1, 6, 2]","[None, None, None]","[9, 5, 1]","[4, 2, 4]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 1,TYLOO,EDward Gaming,2024-04-14 07:50:00,Bo3,"[{'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Sunset', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 10, 'Team 2 Score': 13}]","[5, 4]","[0, 6]","[None, None]","[7, 7]","[6, 6]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Wolves Esports,Trace Esports,2024-04-19 05:00:00,Bo3,"[{'Team': 'WOL', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'WOL', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Ascent', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 9, 'Team 2 Score': 13}]","[2, 4]","[7, 5]","[None, None]","[10, 8]","[3, 5]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Nova Esports,FunPlus Phoenix,2024-04-19 07:25:00,Bo3,"[{'Team': 'NOVA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Ascent', 'Team 1 Score': 6, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 4, 'Team 2 Score': 13}]","[6, 0]","[0, 4]","[None, None]","[6, 5]","[7, 8]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Bilibili Gaming,All Gamers,2024-04-20 05:00:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Lotus', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[5, 6]","[6, 1]","[None, None]","[7, 6]","[6, 7]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Dragon Ranger Gaming,JDG Esports,2024-04-20 07:40:00,Bo3,"[{'Team': 'JDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Icebox', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 14, 'Team 2 Score': 12}]","[4, 3, 4]","[9, 2, 8]","[None, None, 2]","[4, 3, 8]","[3, 10, 4]","[None, None, 0]","[None, None, None]"
Champions Tour 2024: China Stage 1,TYLOO,Nova Esports,2024-04-21 05:00:00,Bo3,"[{'Team': 'TYL', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Icebox', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Ascent', 'Team 1 Score': 14, 'Team 2 Score': 12}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 9}]","[6, 5, 8]","[4, 7, 5]","[None, 2, None]","[6, 7, 2]","[7, 5, 7]","[None, 0, None]","[None, None, None]"
Champions Tour 2024: China Stage 1,EDward Gaming,Titan Esports Club,2024-04-21 09:00:00,Bo3,"[{'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 5}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 5}]","[8, 10]","[5, 3]","[None, None]","[4, 2]","[1, 3]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Titan Esports Club,Bilibili Gaming,2024-04-26 05:00:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Bind', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[7, 4, 5]","[6, 4, 8]","[None, None, None]","[5, 5, 2]","[6, 8, 4]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 1,Trace Esports,Dragon Ranger Gaming,2024-04-26 08:05:00,Bo3,"[{'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Breeze', 'Team 1 Score': 7, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 10, 'Team 2 Score': 13}]","[6, 6]","[1, 4]","[None, None]","[6, 6]","[7, 7]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,TYLOO,Wolves Esports,2024-04-27 05:00:00,Bo3,"[{'Team': 'WOL', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'WOL', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Sunset', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Ascent', 'Team 1 Score': 10, 'Team 2 Score': 13}]","[6, 6, 5]","[5, 7, 5]","[None, None, None]","[6, 6, 7]","[7, 1, 6]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 1,FunPlus Phoenix,EDward Gaming,2024-04-27 08:30:00,Bo3,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Breeze', 'Team 1 Score': 4, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 4}]","[1, 5, 5]","[3, 8, 8]","[None, None, None]","[4, 7, 0]","[9, 4, 4]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 1,All Gamers,Nova Esports,2024-04-28 05:00:00,Bo3,"[{'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Lotus', 'Team 1 Score': 16, 'Team 2 Score': 14}, {'Map': 'Bind', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 7}]","[8, 6, 5]","[4, 4, 8]","[4, None, None]","[4, 6, 3]","[8, 7, 4]","[2, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 1,Bilibili Gaming,JDG Esports,2024-04-28 08:40:00,Bo3,"[{'Team': 'JDG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[7, 8]","[6, 5]","[None, None]","[2, 3]","[6, 7]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,EDward Gaming,All Gamers,2024-05-02 07:00:00,Bo3,"[{'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 6}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 5}]","[9, 5]","[4, 8]","[None, None]","[3, 1]","[3, 4]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Wolves Esports,JDG Esports,2024-05-03 07:00:00,Bo3,"[{'Team': 'JDG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'JDG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'WOL', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'JDG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'WOL', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Lotus', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Ascent', 'Team 1 Score': 1, 'Team 2 Score': 13}]","[6, 1]","[2, 0]","[None, None]","[6, 11]","[7, 2]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Dragon Ranger Gaming,TYLOO,2024-05-04 05:00:00,Bo3,"[{'Team': 'TYL', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TYL', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TYL', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Bind', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Breeze', 'Team 1 Score': 8, 'Team 2 Score': 13}]","[4, 5]","[6, 3]","[None, None]","[8, 7]","[5, 6]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Bilibili Gaming,FunPlus Phoenix,2024-05-04 07:30:00,Bo3,"[{'Team': 'BLG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'BLG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'BLG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Icebox', 'Team 1 Score': 2, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[1, 5]","[1, 1]","[None, None]","[2, 2]","[11, 11]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Nova Esports,Titan Esports Club,2024-05-05 05:00:00,Bo3,"[{'Team': 'NOVA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TEC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TEC', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 6}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[9, 4]","[4, 9]","[None, None]","[3, 3]","[3, 3]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Trace Esports,EDward Gaming,2024-05-05 07:05:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 15}, {'Map': 'Breeze', 'Team 1 Score': 12, 'Team 2 Score': 14}]","[8, 7]","[4, 5]","[1, 0]","[4, 5]","[8, 7]","[3, 2]","[None, None]"
Champions Tour 2024: China Stage 1,Trace Esports,All Gamers,2024-05-08 05:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'AG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'AG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 7}]","[5, 9]","[8, 4]","[None, None]","[5, 3]","[4, 4]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,Dragon Ranger Gaming,Nova Esports,2024-05-08 07:15:00,Bo3,"[{'Team': 'NOVA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NOVA', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'NOVA', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 7}]","[7, 7]","[6, 6]","[None, None]","[2, 5]","[6, 2]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,FunPlus Phoenix,Trace Esports,2024-05-09 05:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 8}]","[9, 6]","[4, 7]","[None, None]","[2, 3]","[8, 5]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,EDward Gaming,Dragon Ranger Gaming,2024-05-09 07:30:00,Bo3,"[{'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 3}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 9}]","[9, 5]","[4, 8]","[None, None]","[3, 7]","[0, 2]","[None, None]","[None, None]"
Champions Tour 2024: China Stage 1,FunPlus Phoenix,EDward Gaming,2024-05-10 05:00:00,Bo3,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Breeze', 'Team 1 Score': 14, 'Team 2 Score': 12}]","[6, 9]","[7, 3]","[None, 2]","[5, 3]","[5, 9]","[None, 0]","[None, None]"
Champions Tour 2024: China Stage 1,Trace Esports,Dragon Ranger Gaming,2024-05-10 07:45:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 6}, {'Map': 'Split', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[8, 3, 5]","[5, 5, 2]","[None, None, None]","[4, 6, 7]","[2, 7, 6]","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 1,EDward Gaming,Dragon Ranger Gaming,2024-05-11 05:00:00,Bo5,"[{'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'DRG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 3}, {'Map': 'Ascent', 'Team 1 Score': 2, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[8, 3, 2, 7]","[5, 10, 0, 6]","[None, None, None, None]","[4, 1, 10, 5]","[6, 2, 3, 1]","[None, None, None, None]","[None, None, None, None]"
Champions Tour 2024: China Stage 1,FunPlus Phoenix,EDward Gaming,2024-05-12 05:00:00,Bo5,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 6}, {'Map': 'Bind', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 12, 'Team 2 Score': 14}, {'Map': 'Breeze', 'Team 1 Score': 8, 'Team 2 Score': 13}]","[4, 7, 8, 3]","[9, 2, 4, 5]","[None, None, 0, None]","[3, 5, 4, 6]","[3, 8, 8, 7]","[None, None, 2, None]","[None, None, None, None]"
Champions Tour 2024: Americas Stage 1,Cloud9,LEVIATÁN,2024-04-06 17:00:00,Bo3,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Icebox', 'Team 1 Score': 7, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 7}, {'Map': 'Ascent', 'Team 1 Score': 18, 'Team 2 Score': 16}]","[4, 7, 7]","[3, 6, 5]","[None, None, 6]","[4, 1, 5]","[9, 6, 7]","[None, None, 4]","[4208, 2808, 5087]"
Champions Tour 2024: Americas Stage 1,NRG Esports,LOUD,2024-04-06 21:00:00,Bo3,"[{'Team': 'NRG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'NRG', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 2}]","[8, 10]","[5, 3]","[None, None]","[3, 2]","[7, 0]","[None, None]","[3638, 2040]"
Champions Tour 2024: Americas Stage 1,G2 Esports,Evil Geniuses,2024-04-07 17:00:00,Bo3,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'EG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 3}]","[7, 4]","[6, 9]","[None, None]","[2, 0]","[6, 3]","[None, None]","[4049, 2103]"
