Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Valorant Champions 2024,DRX,Sentinels,2024-08-14 04:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 15}, {'Map': 'Haven', 'Team 1 Score': 8, 'Team 2 Score': 13}]","[6, 2]","[6, 6]","[1, None]","[6, 7]","[6, 6]","[3, None]","[4126, 2590]"
Valorant Champions 2024,Trace Esports,EDward Gaming,2024-08-14 06:25:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Bind', 'Team 1 Score': 7, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 10, 'Team 2 Score': 13}]","[5, 2]","[2, 8]","[None, None]","[3, 10]","[10, 3]","[None, None]","[3040, 3152]"
Valorant Champions 2024,G2 Esports,LEVIATÁN,2024-08-15 04:00:00,Bo3,"[{'Team': 'LEV', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Icebox', 'Team 1 Score': 14, 'Team 2 Score': 16}, {'Map': 'Abyss', 'Team 1 Score': 5, 'Team 2 Score': 13}]","[8, 4]","[4, 1]","[2, None]","[4, 8]","[8, 5]","[4, None]","[4859, 2643]"
Valorant Champions 2024,Team Heretics,FNATIC,2024-08-15 06:35:00,Bo3,"[{'Team': 'FNC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FNC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 3}, {'Map': 'Abyss', 'Team 1 Score': 14, 'Team 2 Score': 12}]","[4, 9]","[9, 3]","[None, 2]","[0, 3]","[3, 9]","[None, 0]","[2900, 3710]"
Valorant Champions 2024,DRX,Trace Esports,2024-08-16 04:00:00,Bo3,"[{'Team': 'TE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TE', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'TE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 3}, {'Map': 'Abyss', 'Team 1 Score': 13, 'Team 2 Score': 5}]","[10, 4]","[3, 9]","[None, None]","[2, 2]","[1, 3]","[None, None]","[2572, 2441]"
Valorant Champions 2024,G2 Esports,FNATIC,2024-08-16 05:50:00,Bo3,"[{'Team': 'FNC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'FNC', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Haven', 'Team 1 Score': 3, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 11, 'Team 2 Score': 13}]","[3, 7]","[0, 4]","[None, None]","[9, 5]","[4, 8]","[None, None]","[2609, 3490]"
Valorant Champions 2024,Sentinels,EDward Gaming,2024-08-17 04:00:00,Bo3,"[{'Team': 'EDG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Haven'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Haven', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Lotus', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[8, 3, 4]","[5, 6, 2]","[None, None, None]","[4, 7, 3]","[5, 6, 10]","[None, None, None]","[3717, 3224, 2524]"
Valorant Champions 2024,LEVIATÁN,Team Heretics,2024-08-17 07:15:00,Bo3,"[{'Team': 'LEV', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Haven'}]","[{'Map': 'Icebox', 'Team 1 Score': 15, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[7, 9]","[5, 4]","[3, None]","[5, 2]","[7, 8]","[1, None]","[4495, 3465]"
Valorant Champions 2024,Sentinels,FNATIC,2024-08-18 04:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'FNC', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Abyss'}, {'Team': 'FNC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Bind', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 6}]","[9, 7, 8]","[4, 2, 5]","[None, None, None]","[3, 5, 4]","[8, 8, 2]","[None, None, None]","[4103, 3143, 3087]"
Valorant Champions 2024,Team Heretics,DRX,2024-08-18 07:25:00,Bo3,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Abyss'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Abyss', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 5}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[0, 6, 8]","[5, 7, 5]","[None, None, None]","[6, 0, 3]","[7, 5, 7]","[None, None, None]","[3164, 2622, 3470]"
Valorant Champions 2024,EDward Gaming,LEVIATÁN,2024-08-23 03:00:00,Bo3,"[{'Team': 'LEV', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Haven'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Abyss'}]","[{'Map': 'Icebox', 'Team 1 Score': 14, 'Team 2 Score': 16}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 4}, {'Map': 'Abyss', 'Team 1 Score': 13, 'Team 2 Score': 11}]","[3, 8, 6]","[9, 5, 7]","[2, None, None]","[9, 4, 6]","[3, 0, 5]","[4, None, None]","[5283, 2385, 3694]"
