Match ID,Date,Team 1,Team 2,Map Name,Map Duration,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Event,Match Format,Winner,Maps Picked/Banned,Team 1 Map Status,Team 2 Map Status,Team 1 Map Win Rate,Team 2 Map Win Rate,Team 1 Recent Form,Team 2 Recent Form,Score Difference
9,2024-02-23 19:25:00,LOUD,LEVIATÁN,Ascent,3010.0,9,4,4,3,Champions Tour 2024: Americas Kickoff,Bo3,LOUD,"[{'Team': 'LEV', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",Remaining,Remaining,1.0,0.5,3.0,-1.3333333333333333,6
10,2024-02-24 17:00:00,G2 Esports,Evil Geniuses,Sunset,4734.0,8,4,8,4,Champions Tour 2024: Americas Kickoff,Bo3,Evil Geniuses,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",Picked,,1.0,0.5,0.6666666666666666,0.0,-2
10,2024-02-24 17:00:00,G2 Esports,Evil Geniuses,Icebox,3700.0,5,6,6,7,Champions Tour 2024: Americas Kickoff,Bo3,Evil Geniuses,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",,Picked,0.0,0.5,0.6666666666666666,0.0,-2
11,2024-02-25 15:00:00,Cloud9,MIBR,Bind,4563.0,7,5,7,5,Champions Tour 2024: Americas Kickoff,Bo3,MIBR,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",Picked,,1.0,0.0,-1.6,1.2,-2
11,2024-02-25 15:00:00,Cloud9,MIBR,Ascent,3381.0,4,5,7,6,Champions Tour 2024: Americas Kickoff,Bo3,MIBR,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",,Picked,0.0,0.5,-1.6,1.2,-4
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Split,3011.0,3,0,4,9,Champions Tour 2024: Americas Kickoff,Bo3,Sentinels,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",,Picked,0.0,0.5,-1.8333333333333333,0.0,-10
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Breeze,2700.0,9,4,3,3,Champions Tour 2024: Americas Kickoff,Bo3,Sentinels,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",Picked,,0.5,0.5,-1.8333333333333333,0.0,7
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Bind,3174.0,3,6,6,7,Champions Tour 2024: Americas Kickoff,Bo3,Sentinels,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",Remaining,Remaining,1.0,0.0,-1.8333333333333333,0.0,-4
13,2024-02-25 20:55:00,G2 Esports,KRÜ Esports,Split,3504.0,6,7,5,3,Champions Tour 2024: Americas Kickoff,Bo3,G2 Esports,"[{'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",,Picked,0.5,0.5,-0.4,-0.6666666666666666,5
13,2024-02-25 20:55:00,G2 Esports,KRÜ Esports,Sunset,2729.0,8,5,7,1,Champions Tour 2024: Americas Kickoff,Bo3,G2 Esports,"[{'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",Picked,,0.5,0.0,-0.4,-0.6666666666666666,5
