Match ID,Date,Team 1,Team 2,Map Name,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference
148,2024-04-21 09:00:00,EDward Gaming,Titan Esports Club,Ascent,8,5,1,4,False,8
148,2024-04-21 09:00:00,EDward Gaming,Titan Esports Club,Sunset,10,3,3,2,False,8
149,2024-04-26 05:00:00,Titan Esports Club,Bilibili Gaming,Sunset,7,6,6,5,False,2
149,2024-04-26 05:00:00,Titan Esports Club,Bilibili Gaming,Bind,4,4,8,5,False,-5
149,2024-04-26 05:00:00,Titan Esports Club,Bilibili Gaming,Icebox,5,8,4,2,False,7
150,2024-04-26 08:05:00,Trace Esports,Dragon Ranger Gaming,Breeze,6,1,7,6,False,-6
150,2024-04-26 08:05:00,Trace Esports,Dragon Ranger Gaming,Sunset,6,4,7,6,False,-3
151,2024-04-27 05:00:00,TYLOO,Wolves Esports,Sunset,6,5,7,6,False,-2
151,2024-04-27 05:00:00,TYLOO,Wolves Esports,Split,6,7,1,6,False,6
151,2024-04-27 05:00:00,TYLOO,Wolves Esports,Ascent,5,5,6,7,False,-3
152,2024-04-27 08:30:00,FunPlus Phoenix,EDward Gaming,Breeze,1,3,9,4,False,-9
152,2024-04-27 08:30:00,FunPlus Phoenix,EDward Gaming,Bind,5,8,4,7,False,2
152,2024-04-27 08:30:00,FunPlus Phoenix,EDward Gaming,Ascent,5,8,4,0,False,9
153,2024-04-28 05:00:00,All Gamers,Nova Esports,Lotus,8,4,8,4,True,2
153,2024-04-28 05:00:00,All Gamers,Nova Esports,Bind,6,4,7,6,False,-3
153,2024-04-28 05:00:00,All Gamers,Nova Esports,Split,5,8,4,3,False,6
154,2024-04-28 08:40:00,Bilibili Gaming,JDG Esports,Icebox,7,6,6,2,False,5
154,2024-04-28 08:40:00,Bilibili Gaming,JDG Esports,Lotus,8,5,7,3,False,3
155,2024-05-02 07:00:00,EDward Gaming,All Gamers,Sunset,9,4,3,3,False,7
155,2024-05-02 07:00:00,EDward Gaming,All Gamers,Icebox,5,8,4,1,False,8
156,2024-05-03 07:00:00,Wolves Esports,JDG Esports,Lotus,6,2,7,6,False,-5
156,2024-05-03 07:00:00,Wolves Esports,JDG Esports,Ascent,1,0,2,11,False,-12
157,2024-05-04 05:00:00,Dragon Ranger Gaming,TYLOO,Bind,4,6,5,8,False,-3
157,2024-05-04 05:00:00,Dragon Ranger Gaming,TYLOO,Breeze,5,3,6,7,False,-5
158,2024-05-04 07:30:00,Bilibili Gaming,FunPlus Phoenix,Icebox,1,1,11,2,False,-11
158,2024-05-04 07:30:00,Bilibili Gaming,FunPlus Phoenix,Lotus,5,1,11,2,False,-7
159,2024-05-05 05:00:00,Nova Esports,Titan Esports Club,Split,9,4,3,3,False,7
159,2024-05-05 05:00:00,Nova Esports,Titan Esports Club,Lotus,4,9,3,3,False,7
160,2024-05-05 07:05:00,Trace Esports,EDward Gaming,Sunset,8,4,8,4,True,-2
160,2024-05-05 07:05:00,Trace Esports,EDward Gaming,Breeze,7,5,7,5,True,-2
161,2024-05-08 05:00:00,Trace Esports,All Gamers,Sunset,5,8,4,5,False,4
161,2024-05-08 05:00:00,Trace Esports,All Gamers,Breeze,9,4,4,3,False,6
162,2024-05-08 07:15:00,Dragon Ranger Gaming,Nova Esports,Bind,7,6,6,2,False,5
162,2024-05-08 07:15:00,Dragon Ranger Gaming,Nova Esports,Ascent,7,6,2,5,False,6
163,2024-05-09 05:00:00,FunPlus Phoenix,Trace Esports,Bind,9,4,8,2,False,3
163,2024-05-09 05:00:00,FunPlus Phoenix,Trace Esports,Lotus,6,7,5,3,False,5
164,2024-05-09 07:30:00,EDward Gaming,Dragon Ranger Gaming,Ascent,9,4,0,3,False,10
164,2024-05-09 07:30:00,EDward Gaming,Dragon Ranger Gaming,Split,5,8,2,7,False,4
165,2024-05-10 05:00:00,FunPlus Phoenix,EDward Gaming,Icebox,6,7,5,5,False,3
165,2024-05-10 05:00:00,FunPlus Phoenix,EDward Gaming,Breeze,9,3,9,3,True,2
166,2024-05-10 07:45:00,Trace Esports,Dragon Ranger Gaming,Sunset,8,5,2,4,False,7
166,2024-05-10 07:45:00,Trace Esports,Dragon Ranger Gaming,Split,3,5,7,6,False,-5
166,2024-05-10 07:45:00,Trace Esports,Dragon Ranger Gaming,Bind,5,2,6,7,False,-6
