Match ID,Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Total Maps Played,Winner
171,Champions Tour 2024: Pacific Stage 1,BLEED,Talon Esports,2024-04-07 04:00:00,Bo3,"[{'Team': 'TLN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'BLD', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",3,Talon Esports
172,Champions Tour 2024: Pacific Stage 1,T1,Paper Rex,2024-04-07 07:15:00,Bo3,"[{'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,Paper Rex
173,Champions Tour 2024: Pacific Stage 1,Team Secret,Rex Regum Qeon,2024-04-08 04:00:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'RRQ', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",3,Rex Regum Qeon
174,Champions Tour 2024: Pacific Stage 1,Global Esports,DRX,2024-04-08 07:20:00,Bo3,"[{'Team': 'GE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",2,DRX
175,Champions Tour 2024: Pacific Stage 1,Gen.G,Talon Esports,2024-04-09 04:00:00,Bo3,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",2,Gen.G
176,Champions Tour 2024: Pacific Stage 1,T1,DetonatioN FocusMe,2024-04-09 06:10:00,Bo3,"[{'Team': 'DFM', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DFM', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DFM', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,DetonatioN FocusMe
177,Champions Tour 2024: Pacific Stage 1,Gen.G,Paper Rex,2024-04-13 04:00:00,Bo3,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",3,Paper Rex
178,Champions Tour 2024: Pacific Stage 1,T1,DRX,2024-04-13 07:10:00,Bo3,"[{'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",3,DRX
179,Champions Tour 2024: Pacific Stage 1,Team Secret,ZETA DIVISION,2024-04-14 04:00:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,Team Secret
180,Champions Tour 2024: Pacific Stage 1,BLEED,Rex Regum Qeon,2024-04-14 07:00:00,Bo3,"[{'Team': 'BLD', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'BLD', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'RRQ', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",2,Rex Regum Qeon
